,trees,weeds,grass
2019-06-01,2,1,4
2019-06-02,1,0,4
2019-06-03,1,0,4
2019-06-04,1,1,4
2019-06-05,1,1,3
2019-06-06,1,1,3
2019-06-07,1,0,2
2019-06-08,1,1,2
2019-06-09,1,0,4
2019-06-10,1,1,4
2019-06-11,0,0,0
2019-06-12,0,0,0
2019-06-13,0,0,0
2019-06-14,0,0,0
2019-06-15,0,0,0
2019-06-16,0,0,0
2019-06-17,0,0,0
2019-06-18,0,0,0
2019-06-19,0,0,0
2019-06-20,0,0,0
2019-06-21,0,0,0
2019-06-22,0,0,0
2019-06-23,0,0,0
2019-06-24,0,0,0
2019-06-25,0,0,0
2019-06-26,0,0,0
2019-06-27,0,0,0
2019-06-28,0,0,0
2019-06-29,0,0,0
2019-06-30,0,0,0
